file,line,current_cerr,message_template,context_function,classification,tag_composition,proposed_enum_name,wording_change
src/ast/ast_infer_type.cpp,79,invalid_type,alias loop detected: '<var>',InferTypes::visitAlias,primary,recursion | type_alias,recursion_type_alias,
src/ast/ast_infer_type.cpp,85,invalid_type,internal compiler error: can't be inferred: '<var>',InferTypes::visitAlias,internal,internal | type_alias,internal_type_alias,
src/ast/ast_infer_type.cpp,91,invalid_type,can't be inferred: '<var>',InferTypes::visitAlias,follow_on,not_resolved_yet | type_alias,not_resolved_yet_type_alias,
src/ast/ast_infer_type.cpp,155,,enumeration value '<var>' can't be inferred yet,InferTypes::visitEnumerationValue,follow_on,not_resolved_yet | enumerator,not_resolved_yet_enumerator,current cerr unspecified - should be not_resolved_yet_enumerator
src/ast/ast_infer_type.cpp,167,,enumeration value '<var>' can't be inferred yet,InferTypes::visitEnumerationValue,follow_on,not_resolved_yet | enumerator,not_resolved_yet_enumerator,current cerr unspecified - should be not_resolved_yet_enumerator
src/ast/ast_infer_type.cpp,170,invalid_enumeration,enumeration value '<var>' has to be signed or unsigned integer of any size,InferTypes::visitEnumerationValue,primary,invalid | enumerator | type,invalid_enumerator_type,
src/ast/ast_infer_type.cpp,177,invalid_enumeration,enumeration value '<var>' must be integer constant,InferTypes::visitEnumerationValue,primary,invalid | enumerator,invalid_enumerator,
src/ast/ast_infer_type.cpp,218,cant_infer_missing_initializer,"structure field type can't be inferred, it needs an initializer",InferTypes::preVisitStructureField,primary,missing | structure | field,missing_structure_field,
src/ast/ast_infer_type.cpp,255,,not fully resolved yet,InferTypes::visitStructureField,follow_on,not_resolved_yet | structure | field,not_resolved_yet_structure_field,current cerr unspecified - should be not_resolved_yet_structure_field; vague: clarify what is not resolved
src/ast/ast_infer_type.cpp,265,invalid_structure_field_type,undefined structure field type '<var>',InferTypes::visitStructureField,primary,lookup | structure | field | type,lookup_structure_field_type,
src/ast/ast_infer_type.cpp,272,invalid_structure_field_type,"structure field initialization type can't be inferred, <var> = <var>",InferTypes::visitStructureField,primary,invalid | structure | field | type,invalid_structure_field_type,
src/ast/ast_infer_type.cpp,286,invalid_structure_field_type,structure field type can't be declared void,InferTypes::visitStructureField,primary,invalid | structure | field | type | void,invalid_structure_field_type_void,
src/ast/ast_infer_type.cpp,289,invalid_structure_field_type,structure field type can't be declared a reference,InferTypes::visitStructureField,primary,invalid | structure | field | type | ref,invalid_structure_field_type_ref,
src/ast/ast_infer_type.cpp,295,unsafe,Uninitialized field <var> is unsafe,InferTypes::visitStructureField,primary,unsafe | structure | field,unsafe_structure_field,
src/ast/ast_infer_type.cpp,305,invalid_initialization_type,field <var> can't be copied,InferTypes::visitStructureField,primary,cant | structure | field,cant_copy_structure_field,
src/ast/ast_infer_type.cpp,312,invalid_initialization_type,field <var>can't be initialized at all,InferTypes::visitStructureField,wording_fix,invalid | structure | field,invalid_structure_field_init,"typo: missing space, '<name>can't' -> '<name> can't'"
src/ast/ast_infer_type.cpp,315,cant_move,can't move from a constant value <var>,InferTypes::visitStructureField,primary,cant | structure | field,cant_move_structure_field,
src/ast/ast_infer_type.cpp,360,invalid_type,type creates circular dependency,InferTypes::visit(Structure*),primary,recursion | structure,recursion_structure,
src/ast/ast_infer_type.cpp,370,unsafe,Uninitialized variable <var> is unsafe,InferTypes::preVisitGlobalLet,primary,unsafe | global,unsafe_global,
src/ast/ast_infer_type.cpp,375,no_global_variables,global variables are disabled by option no_global_variables_at_all,InferTypes::preVisitGlobalLet,primary,invalid | global | options,invalid_global_options,
src/ast/ast_infer_type.cpp,379,cant_infer_missing_initializer,"global variable type can't be inferred, it needs an initializer",InferTypes::preVisitGlobalLet,primary,missing | global,missing_global_init,
src/ast/ast_infer_type.cpp,387,invalid_type,undefined global variable type <var>,InferTypes::preVisitGlobalLet,primary,lookup | global | type,lookup_global_type,
src/ast/ast_infer_type.cpp,403,cant_infer_mismatching_restrictions,"global variable '<var>' initialization type can't be inferred, <var> = <var>",InferTypes::visitGlobalLetInit,primary,invalid | global | type,invalid_global_init_type,
src/ast/ast_infer_type.cpp,420,invalid_initialization_type,"global variable '<var>' initialization type mismatch, const matters <var> = <var>",InferTypes::visitGlobalLetInit,primary,invalid | global | type,invalid_global_init_type,
src/ast/ast_infer_type.cpp,423,invalid_initialization_type,global variable '<var>' can't be initialized at all,InferTypes::visitGlobalLetInit,primary,invalid | global | type,invalid_global_init_type,
src/ast/ast_infer_type.cpp,426,cant_move,global variable '<var>' can't init (move) from a constant value,InferTypes::visitGlobalLetInit,primary,cant | global,cant_move_global,
src/ast/ast_infer_type.cpp,429,cant_copy,global variable '<var>' can't be copied,InferTypes::visitGlobalLetInit,primary,cant | global,cant_copy_global,
src/ast/ast_infer_type.cpp,436,cant_move,global variable '<var>' can't be moved,InferTypes::visitGlobalLetInit,primary,cant | global,cant_move_global,
src/ast/ast_infer_type.cpp,467,no_init,[init] is disabled in the options or CodeOfPolicies,InferTypes::visitGlobalLetInit,primary,invalid | global | options,invalid_global_init_options,
src/ast/ast_infer_type.cpp,480,invalid_variable_type,global variable can't be declared a reference,InferTypes::visitGlobalLet,primary,invalid | global | type | ref,invalid_global_type_ref,
src/ast/ast_infer_type.cpp,483,invalid_variable_type,global variable can't be declared void,InferTypes::visitGlobalLet,primary,invalid | global | type | void,invalid_global_type_void,
src/ast/ast_infer_type.cpp,486,invalid_variable_type,can't have a global variable of type <var>,InferTypes::visitGlobalLet,primary,invalid | global | type,invalid_global_type,
src/ast/ast_infer_type.cpp,489,invalid_variable_type,shared global variable must be constant,InferTypes::visitGlobalLet,primary,invalid | global,invalid_global_shared,
src/ast/ast_infer_type.cpp,492,invalid_variable_type,shared global variable must be initialized,InferTypes::visitGlobalLet,primary,missing | global,missing_global_shared_init,
src/ast/ast_infer_type.cpp,496,invalid_variable_type,"this variable type can't be shared, <var>",InferTypes::visitGlobalLet,primary,invalid | global | type,invalid_global_type_shared,
src/ast/ast_infer_type.cpp,501,unsafe,can only have global pointers to classes <var>,InferTypes::visitGlobalLet,primary,unsafe | global,unsafe_global_pointer,
src/ast/ast_infer_type.cpp,505,invalid_variable_type,global variable of type <var> needs to be initialized,InferTypes::visitGlobalLet,primary,missing | global,missing_global_init,
