new_num	new_name	facet	stage	site_count	sample_old_cerrs
10100	invalid_line	invalid	1	7	invalid_line_directive,syntax_error,unexpected_close_comment
10101	invalid_string	invalid	1	2	nested_string_constant
10200	mismatching_curly_bracers	mismatching	1	5	mismatching_curly_bracers,mismatching_parentheses
10201	mismatching_module_name	mismatching	1	4	(empty)
10202	mismatching_parens	mismatching	1	8	mismatching_parentheses
10300	exceeds_constant	exceeds	1	38	floating_point_constant_out_of_range,integer_constant_out_of_range
10301	exceeds_file	exceeds	1	8	comment_contains_eof,string_constant_exceeds_file
20100	invalid_aka	invalid	2	1	invalid_aka
20103	invalid_capture	invalid	2	2	invalid_capture,syntax_error
20105	invalid_escape	invalid	2	2	invalid_escape_sequence
20107	invalid_field	invalid	2	2	invalid_override
20108	invalid_field_static	invalid	2	2	invalid_static
20109	invalid_function	invalid	2	9	invalid_member_function
20110	invalid_function_annotation	invalid	2	1	invalid_member_function
20111	invalid_function_static	invalid	2	1	invalid_member_function
20112	invalid_global_aka	invalid	2	2	invalid_aka
20113	invalid_macro	invalid	2	2	syntax_error
20114	invalid_module	invalid	2	2	syntax_error
20115	invalid_module_require	invalid	2	1	module_required_from_shared
20116	invalid_name	invalid	2	1	invalid_name
20120	invalid_type_aka	invalid	2	1	invalid_aka
20121	invalid_type_alias	invalid	2	3	invalid_type
20201	missing_module_name	missing	2	2	module_does_not_have_a_name
20300	exceeds_bitfield	exceeds	2	4	invalid_type
20402	ambiguous_function_argument_type	ambiguous	2	1	invalid_type
20501	already_declared_enumeration	already_declared	2	1	enumeration_already_declared
20502	already_declared_enumerator	already_declared	2	4	enumeration_value_already_declared
20503	already_declared_field	already_declared	2	1	invalid_override
20504	already_declared_field_static	already_declared	2	1	invalid_static
20506	already_declared_function_argument	already_declared	2	1	argument_already_declared
20507	already_declared_global	already_declared	2	3	global_variable_already_declared,invalid_static
20508	already_declared_global_bitfield	already_declared	2	1	global_variable_already_declared
20509	already_declared_local	already_declared	2	2	local_variable_already_declared
20510	already_declared_module	already_declared	2	3	module_not_found
20511	already_declared_module_name	already_declared	2	2	module_already_has_a_name
20512	already_declared_structure	already_declared	2	2	structure_already_declared
20513	already_declared_type_alias	already_declared	2	10	invalid_type,type_alias_already_declared
20600	lookup_annotation	lookup	2	5	annotation_not_found,invalid_annotation
20602	lookup_enumeration	lookup	2	1	type_not_found
20603	lookup_file	lookup	2	5	(empty),syntax_error
20605	lookup_module	lookup	2	2	module_not_found
20606	lookup_structure	lookup	2	1	structure_not_found
20701	cant_structure	cant	2	1	invalid_override
20800	runtime_annotation	runtime	2	4	invalid_annotation
20901	internal_module	internal	2	2	syntax_error
30100	invalid_annotation	invalid	3	23	handle_not_found,invalid_annotation,syntax_error
30101	invalid_annotation_field	invalid	3	1	cant_get_field
30102	invalid_annotation_macro	invalid	3	1	invalid_annotation
30103	invalid_annotation_type	invalid	3	1	invalid_type
30104	invalid_argument	invalid	3	6	argument_aliasing
30105	invalid_argument_global	invalid	3	4	argument_aliasing
30106	invalid_argument_name	invalid	3	3	invalid_name
30107	invalid_argument_type	invalid	3	3	(empty),invalid_argument_type
30108	invalid_array	invalid	3	6	invalid_array_type,invalid_type
30109	invalid_array_dimension	invalid	3	5	invalid_array_dimension,invalid_type
30110	invalid_array_dimension_type	invalid	3	1	invalid_array_dimension
30111	invalid_array_element_type	invalid	3	1	invalid_type
30112	invalid_array_type	invalid	3	5	invalid_type
30113	invalid_as	invalid	3	1	invalid_type
30114	invalid_ascend_array_handle_type	invalid	3	1	invalid_new_type
30115	invalid_ascend_handle_type	invalid	3	1	invalid_new_type
30116	invalid_assert_argument_count	invalid	3	1	invalid_argument_count
30117	invalid_assert_comment_type	invalid	3	1	invalid_argument_type
30118	invalid_assert_condition_type	invalid	3	1	invalid_argument_type
30119	invalid_bitfield	invalid	3	1	cant_get_field
30120	invalid_bitfield_cast_argument_count	invalid	3	1	invalid_cast
30121	invalid_block_argument	invalid	3	2	invalid_block,unused_block_argument
30122	invalid_block_argument_count	invalid	3	1	invalid_block
30123	invalid_block_argument_init_type	invalid	3	3	cant_infer_mismatching_restrictions,invalid_argument_type
30124	invalid_block_argument_type	invalid	3	1	invalid_type
30125	invalid_block_break	invalid	3	1	invalid_block
