format	shape	lcpp_tok_s	lcpp_commit	date
q4_k_m	pp512	1213.54	7642f1c	2026-07-17
q4_k_m	tg128	101.48	7642f1c	2026-07-17
q4_k_m	tg128_b1_batched	93.32	7642f1c	2026-07-17
q4_k_m	tg128_b2	112.80	7642f1c	2026-07-17
q4_k_m	tg128_b4	167.09	7642f1c	2026-07-17
q4_k_m	tg128_b8	200.34	7642f1c	2026-07-17
q4_k_m	tg128_b16	315.72	7642f1c	2026-07-17
q8_0	pp512	1395.92	7642f1c	2026-07-17
q8_0	tg128	86.41	7642f1c	2026-07-17
q8_0	tg128_b1_batched	79.97	7642f1c	2026-07-17
q8_0	tg128_b2	127.88	7642f1c	2026-07-17
q8_0	tg128_b4	218.65	7642f1c	2026-07-17
q8_0	tg128_b8	252.71	7642f1c	2026-07-17
q8_0	tg128_b16	362.71	7642f1c	2026-07-17
q6_k	pp512	1199.18	7642f1c	2026-07-17
q6_k	tg128	97.25	7642f1c	2026-07-17
q6_k	tg128_b1_batched	93.74	7642f1c	2026-07-17
q6_k	tg128_b2	107.50	7642f1c	2026-07-17
q6_k	tg128_b4	164.92	7642f1c	2026-07-17
q6_k	tg128_b8	195.55	7642f1c	2026-07-17
q6_k	tg128_b16	310.56	7642f1c	2026-07-17
q5_k_m	pp512	1090.79	7642f1c	2026-07-17
q5_k_m	tg128	84.01	7642f1c	2026-07-17
q5_k_m	tg128_b1_batched	80.71	7642f1c	2026-07-17
q5_k_m	tg128_b2	90.47	7642f1c	2026-07-17
q5_k_m	tg128_b4	159.07	7642f1c	2026-07-17
q5_k_m	tg128_b8	187.32	7642f1c	2026-07-17
q5_k_m	tg128_b16	294.69	7642f1c	2026-07-17
