model	shape	lcpp_tok_s	lcpp_commit	date
gemma2_2b_q4_k_m	pp512	1654.12	7642f1c	2026-07-17
gemma2_2b_q4_k_m	tg128	112.89	7642f1c	2026-07-17
gemma2_2b_q4_k_m	tg128_b1_batched	104.33	7642f1c	2026-07-17
gemma2_2b_q4_k_m	tg128_b2	121.91	7642f1c	2026-07-17
gemma2_2b_q4_k_m	tg128_b4	204.97	7642f1c	2026-07-17
gemma2_2b_q4_k_m	tg128_b8	229.45	7642f1c	2026-07-17
gemma2_2b_q4_k_m	tg128_b16	348.09	7642f1c	2026-07-17
gemma2_2b_q8_0	pp512	1896.87	7642f1c	2026-07-17
gemma2_2b_q8_0	tg128	98.59	7642f1c	2026-07-17
gemma2_2b_q8_0	tg128_b1_batched	96.13	7642f1c	2026-07-17
gemma2_2b_q8_0	tg128_b2	153.00	7642f1c	2026-07-17
gemma2_2b_q8_0	tg128_b4	254.02	7642f1c	2026-07-17
gemma2_2b_q8_0	tg128_b8	293.64	7642f1c	2026-07-17
gemma2_2b_q8_0	tg128_b16	394.42	7642f1c	2026-07-17
gemma3_1b_q8_0	pp512	4974.59	7642f1c	2026-07-17
gemma3_1b_q8_0	tg128	155.79	7642f1c	2026-07-17
gemma3_1b_q8_0	tg128_b1_batched	153.57	7642f1c	2026-07-17
gemma3_1b_q8_0	tg128_b2	314.50	7642f1c	2026-07-17
gemma3_1b_q8_0	tg128_b4	494.29	7642f1c	2026-07-17
gemma3_1b_q8_0	tg128_b8	664.07	7642f1c	2026-07-17
gemma3_1b_q8_0	tg128_b16	767.70	7642f1c	2026-07-17
gemma3_4b_q8_0	pp512	1217.93	7642f1c	2026-07-17
gemma3_4b_q8_0	tg128	68.81	7642f1c	2026-07-17
gemma3_4b_q8_0	tg128_b1_batched	64.44	7642f1c	2026-07-17
gemma3_4b_q8_0	tg128_b2	99.52	7642f1c	2026-07-17
gemma3_4b_q8_0	tg128_b4	164.27	7642f1c	2026-07-17
gemma3_4b_q8_0	tg128_b8	175.32	7642f1c	2026-07-17
gemma3_4b_q8_0	tg128_b16	290.09	7642f1c	2026-07-17
gemma4_12b_q4_k_m	pp512	309.04	7642f1c	2026-07-18
gemma4_12b_q4_k_m	tg128	28.99	7642f1c	2026-07-18
gemma4_12b_q4_k_m	tg128_b1_batched	28.73	7642f1c	2026-07-18
gemma4_12b_q4_k_m	tg128_b2	31.22	7642f1c	2026-07-18
gemma4_12b_q4_k_m	tg128_b4	51.23	7642f1c	2026-07-18
gemma4_12b_q4_k_m	tg128_b8	53.51	7642f1c	2026-07-18
gemma4_12b_q4_k_m	tg128_b16	100.47	7642f1c	2026-07-18
gemma4_12b_q5_k_m	pp512	276.98	7642f1c	2026-07-18
gemma4_12b_q5_k_m	tg128	22.46	7642f1c	2026-07-18
gemma4_12b_q5_k_m	tg128_b1_batched	22.23	7642f1c	2026-07-18
gemma4_12b_q5_k_m	tg128_b2	23.90	7642f1c	2026-07-18
gemma4_12b_q5_k_m	tg128_b4	48.27	7642f1c	2026-07-18
gemma4_12b_q5_k_m	tg128_b8	49.68	7642f1c	2026-07-18
gemma4_12b_q5_k_m	tg128_b16	93.00	7642f1c	2026-07-18
gemma4_12b_q6_k	pp512	304.51	7642f1c	2026-07-18
gemma4_12b_q6_k	tg128	27.68	7642f1c	2026-07-18
gemma4_12b_q6_k	tg128_b1_batched	27.38	7642f1c	2026-07-18
gemma4_12b_q6_k	tg128_b2	29.83	7642f1c	2026-07-18
gemma4_12b_q6_k	tg128_b4	49.55	7642f1c	2026-07-18
gemma4_12b_q6_k	tg128_b8	50.64	7642f1c	2026-07-18
gemma4_12b_q6_k	tg128_b16	98.38	7642f1c	2026-07-18
gemma4_12b_q8_0	pp512	356.02	7642f1c	2026-07-18
gemma4_12b_q8_0	tg128	25.17	7642f1c	2026-07-18
gemma4_12b_q8_0	tg128_b1_batched	24.89	7642f1c	2026-07-18
gemma4_12b_q8_0	tg128_b2	38.03	7642f1c	2026-07-18
gemma4_12b_q8_0	tg128_b4	63.75	7642f1c	2026-07-18
gemma4_12b_q8_0	tg128_b8	62.00	7642f1c	2026-07-18
gemma4_12b_q8_0	tg128_b16	114.86	7642f1c	2026-07-18
