format	shape	lcpp_tok_s	lcpp_commit	date
q4_k_m	pp512	929.22	7642f1c	2026-07-17
q4_k_m	tg128	82.11	7642f1c	2026-07-17
q4_k_m	tg128_b1_batched	76.47	7642f1c	2026-07-17
q4_k_m	tg128_b2	89.22	7642f1c	2026-07-17
q4_k_m	tg128_b4	127.68	7642f1c	2026-07-17
q4_k_m	tg128_b8	152.20	7642f1c	2026-07-17
q4_k_m	tg128_b16	234.45	7642f1c	2026-07-17
q8_0	pp512	1064.92	7642f1c	2026-07-17
q8_0	tg128	67.70	7642f1c	2026-07-17
q8_0	tg128_b1_batched	65.52	7642f1c	2026-07-17
q8_0	tg128_b2	102.99	7642f1c	2026-07-17
q8_0	tg128_b4	159.58	7642f1c	2026-07-17
q8_0	tg128_b8	190.40	7642f1c	2026-07-17
q8_0	tg128_b16	266.02	7642f1c	2026-07-17
q6_k	pp512	916.27	7642f1c	2026-07-17
q6_k	tg128	78.18	7642f1c	2026-07-17
q6_k	tg128_b2	83.74	7642f1c	2026-07-17
q6_k	tg128_b4	124.15	7642f1c	2026-07-17
q6_k	tg128_b8	137.58	7642f1c	2026-07-17
q6_k	tg128_b16	230.77	7642f1c	2026-07-17
q5_k_m	pp512	831.24	7642f1c	2026-07-17
q5_k_m	tg128	66.46	7642f1c	2026-07-17
q5_k_m	tg128_b2	71.23	7642f1c	2026-07-17
q5_k_m	tg128_b4	120.48	7642f1c	2026-07-17
q5_k_m	tg128_b8	142.98	7642f1c	2026-07-17
q5_k_m	tg128_b16	218.95	7642f1c	2026-07-17
