format	shape	lcpp_toks	source
q4km	pp512	836.24	llama-bench -r 1, lcpp 7642f1c, M1 Max, 2026-07-19 settled window, Parsec off
q4km	tg128_b1	74.62	llama-bench -r 1
q4km	tg128_b2	87.14	llama-batched-bench -npp 512 -ntg 128 -c 16384
q4km	tg128_b4	111.01	llama-batched-bench
q4km	tg128_b8	128.30	llama-batched-bench
q4km	tg128_b16	144.71	llama-batched-bench
q5km	pp512	786.69	llama-bench -r 1 (local requant from Q8, --allow-requantize)
q5km	tg128_b1	63.16	llama-bench -r 1
q5km	tg128_b2	71.87	llama-batched-bench
q5km	tg128_b4	92.03	llama-batched-bench
q5km	tg128_b8	103.47	llama-batched-bench
q5km	tg128_b16	114.25	llama-batched-bench
q6k	pp512	840.34	llama-bench -r 1 (local requant from Q8, --allow-requantize)
q6k	tg128_b1	68.17	llama-bench -r 1
q6k	tg128_b2	79.66	llama-batched-bench
q6k	tg128_b4	100.08	llama-batched-bench
q6k	tg128_b8	114.38	llama-batched-bench
q6k	tg128_b16	126.61	llama-batched-bench
q8	pp512	952.29	llama-bench -r 1
q8	tg128_b1	55.68	llama-bench -r 1
q8	tg128_b2	68.96	llama-batched-bench
q8	tg128_b4	81.73	llama-batched-bench
q8	tg128_b8	88.55	llama-batched-bench
q8	tg128_b16	92.86	llama-batched-bench
